번호,대여/반납,일시,보관소명,거치대번호,처리자
735843,대여,2012년01월17일12시10분08초,홍은사거리,1,사용자
735845,대여,2012년01월17일12시44분20초,증산2교,12,사용자
735860,대여,2012년01월17일13시05분00초,문화촌,19,사용자
735863,대여,2012년01월17일13시13분21초,문화촌,15,사용자
735865,대여,2012년01월17일13시15분08초,문화촌,19,사용자
735866,대여,2012년01월17일13시23분15초,문화촌,9,사용자
735872,대여,2012년01월17일14시18분26초,증산2교,18,사용자
735873,대여,2012년01월17일14시20분56초,증산2교,20,사용자
735875,대여,2012년01월17일14시23분06초,증산2교,19,사용자
735892,대여,2012년01월17일14시42분21초,문화촌,9,사용자
735893,대여,2012년01월17일14시44분48초,홍은사거리,1,사용자
735895,대여,2012년01월17일14시47분02초,홍은사거리,2,사용자
735903,대여,2012년01월17일15시07분42초,홍은사거리,4,사용자
735904,대여,2012년01월17일15시07분49초,문화촌,17,사용자
735905,대여,2012년01월17일15시08분44초,홍은사거리,5,사용자
735910,대여,2012년01월17일15시35분31초,홍은사거리,5,사용자
735911,대여,2012년01월17일15시44분50초,해담는 다리,13,사용자
735912,대여,2012년01월17일15시50분25초,사천교,16,사용자
735913,대여,2012년01월17일15시54분21초,증산2교,20,사용자
735914,대여,2012년01월17일15시54분42초,해담는 다리,5,사용자
735918,대여,2012년01월17일16시00분07초,사천교,16,사용자
735921,대여,2012년01월17일16시02분39초,사천교,17,사용자
735926,대여,2012년01월17일16시06분32초,사천교,17,사용자
735941,대여,2012년01월17일16시11분25초,증산2교,16,사용자
735942,대여,2012년01월17일16시12분15초,홍은사거리,17,사용자
735943,대여,2012년01월17일16시16분52초,사천교,1,사용자
735944,대여,2012년01월17일16시18분16초,사천교,4,사용자
735946,대여,2012년01월17일16시23분53초,사천교,16,사용자
735951,대여,2012년01월17일16시41분50초,해담는 다리,6,사용자
735959,대여,2012년01월17일16시47분24초,사천교,1,사용자
735961,대여,2012년01월17일16시51분34초,사천교,16,사용자
735964,대여,2012년01월17일17시15분02초,홍은사거리,22,사용자
735966,대여,2012년01월17일17시18분52초,홍은사거리,19,사용자
735971,대여,2012년01월17일17시44분51초,증산2교,19,사용자
735972,대여,2012년01월17일17시45분33초,증산2교,15,사용자
735975,대여,2012년01월17일18시01분07초,증산2교,7,사용자
735976,대여,2012년01월17일18시04분57초,증산2교,11,사용자
735979,대여,2012년01월17일18시07분31초,증산2교,12,사용자
