"자전거보관소명",소재지도로명주소,소재지지번주소,위도,경도,보관대수,설치년도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"오류동역",서울특별시 구로구 경인로20길 13,,37.4944107,126.844567,160,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"개봉역",서울특별시 구로구 경인로40길 47,,37.4947085,126.8585201,265,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구일역",서울특별시 구로구 구일로 133,,37.4962832,126.8696146,158,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로역",서울특별시 구로구 구로중앙로 174,,37.502916,126.8822782,114,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"신도림역",서울특별시 구로구 새말로 117-21,,37.5091183,126.8915087,800,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"도림천역",서울특별시 구로구 경인로67길 160,,37.5144704,126.8826399,14,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"대림역",서울특별시 구로구 도림천로 351,,37.4932236,126.8951432,256,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로디지털단지역",서울특별시 구로구 도림천로 477,,37.4852303,126.9016416,210,,,,Y,수동식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"천왕역",서울특별시 구로구 오리로 1154,,37.4867557,126.8387258,475,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"남구로역",서울특별시 구로구 도림로 7,,37.4870487,126.8880793,37,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"오정초교 입구",서울특별시 구로구 경인로2길 10,,37.4893492,126.8266433,10,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"신도림중학교 앞",서울특별시 구로구 경인로63길 74,,37.5107994,126.8855195,40,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"서울개봉초교 앞",서울특별시 구로구 개봉로16길 30-11,,37.4897272,126.8583074,10,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"신도림동 성광빌딩 앞",서울특별시 구로구 신도림로19길 7,,37.5111476,126.8844612,20,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"애경유지공업 앞",서울특별시 구로구 구로중앙로 152,,37.5013013,126.8826806,85,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"롯데마트 구로점 앞",서울특별시 구로구 경인로 482,,37.4981719,126.8725869,40,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"이마트 구로점 앞",서울특별시 구로구 디지털로32길 43,,37.4844111,126.8979014,10,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"고척도서관",서울특별시 구로구 고척로45길 31,,37.5053516,126.8532545,50,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로5동 청소년독서실",서울특별시 구로구 가마산로25길 33,,37.4974763,126.8895945,20,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로 노인복지관",서울특별시 구로구 새말로16길 7,,37.5052824,126.8906632,17,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구민체육센터",서울특별시 구로구 고척로45길 39,,37.5066167,126.8533046,20,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로경찰서",서울특별시 구로구 가마산로 235,,37.4948934,126.8867298,30,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로도서관",서울특별시 구로구 공원로 15,,37.4985419,126.8916742,7,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"하늘도서관",서울특별시 구로구 구로동로13길 68,,37.4874572,126.8809964,10,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"개봉2동주민센터",서울특별시 구로구 개봉로16가길 17,,37.490851,126.856550,10,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"오류도서관",서울특별시 구로구 경인로19길 29-6,,37.4971922,126.8420616,20,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로구청",서울특별시 구로구 가마산로 245,,37.495472,126.887536,93,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"신도림차고지",서울특별시 구로구 경인로67길 149,,37.5137772,126.8832113,20,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로구보건소",서울특별시 구로구 구로중앙로28길 66,,37.5000533,126.8894497,20,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로2동 자치회관",서울특별시 구로구 구로동로50길 14-2,,37.4991922,126.8829382,5,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로소방서",서울특별시 구로구 경인로 408,,37.4978258,126.8652844,10,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"오류2동주민센터",서울특별시 구로구 오류로 45,,37.4888016,126.8395371,5,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"화원종합사회복지관",서울특별시 구로구 벚꽃로 484,,37.4974518,126.8802035,10,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"온수역",서울특별시 구로구 부일로 872,,37.4922781,126.8234148,109,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로청소년문화의집",서울특별시 구로구 부일로 949,,37.4934376,126.8327233,10,,,,N,,N,02-860-2686,서울특별시 구로구청,2016-09-20
"신도림동주민센터",서울특별시 구로구 신도림로 40,,37.5077664,126.8805826,10,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"오류고등학교",서울특별시 구로구 오리로21길 2,,37.5002434,126.8281986,30,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"우신고등학교",서울특별시 구로구 부일로 917,,37.4953588,126.8266507,178,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로고등학교",서울특별시 구로구 가마산로27길 45,,37.4987608,126.8900247,122,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
"구로중학교",서울특별시 구로구 구로중앙로 48,,37.4947434,126.8903445,90,,,,Y,기계식,N,02-860-2686,서울특별시 구로구청,2016-09-20
