"자전거대여소명",자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"양재역 10번 11번 출구 사이",무인대여소,서울특별시 서초구 남부순환로 2585,,37.483979,127.0341650,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,22,Y,기계식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"삼호물산 맞은편",무인대여소,,서울특별시 서초구 양재동 261-23,37.478195,127.0440266,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,20,Y,기계식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"구룡사 삼거리",무인대여소,,서울특별시 서초구 양재동 402-17,37.4703584,127.0483792,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,10,N,,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"양재시민의 숲 역",무인대여소,,서울특별시 서초구 양재동 237-2,37.470227,127.038581,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,22,Y,기계식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"하이브랜드 앞",무인대여소,서울특별시 서초구 매헌로 16,서울특별시 서초구 양재동 215,37.463024,127.035829,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,20,N,,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"바우뫼 복지문화회관 옆",무인대여소,서울특별시 서초구 바우뫼로 41,,37.471656,127.027091,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,20,Y,수동식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"우면동 네이처힐 405동 옆",무인대여소,,서울특별시 서초구 우면동 329-2,37.462858,127.026570,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,20,Y,기계식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"우면동 LH스타힐스 203동 맞은 편",무인대여소,,서울특별시 서초구 우면동 634-191,37.456105,127.018078,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,20,N,,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"잠원역 3번 4번 출구 사이",무인대여소,서울특별시 서초구 잠원로4길 지하46,,37.512883,127.011326,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,18,Y,기계식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"신반포아파트 114동 앞",무인대여소,,서울특별시 서초구 잠원동 71-22,37.513004,127.006144,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,18,Y,수동식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"고속터미널역 8-1번 출구 뒤",무인대여소,,서울특별시 서초구 잠원동 75-20,37.506094,127.004118,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,20,Y,기계식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"이수역 4번출구 옆",무인대여소,,서울특별시 서초구 방배동 1706,37.485749,126.982543,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,20,N,,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"방배4동 치안센터(뒷벌공원 옆)",무인대여소,,서울특별시 서초구 방배동 686-152,37.489793,126.986678,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,15,N,,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"내곡3단지 어린이공원 앞",무인대여소,,서울특별시 서초구 신원동 400,37.453703,127.059155,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,15,Y,기계식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"청계산입구역 1번 출구",무인대여소,서울특별시 서초구 청계산로 179,,37.449254,127.954361,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,21,Y,기계식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"언남초등학교",무인대여소,서울특별시 서초구 헌릉로8길 42,,37.454383,127.061569,00:01,24:00,연중무휴,유료,1일권 1천원+7일권 3천원+30일권 5천원+6개월권 1만5천원+1년권 3만원,10,21,Y,기계식,N,02-2155-7186,서울특별시 서초구청,2016-08-31
"방배자전거무료대여소",유인대여소,,서울특별시 서초구 방배동 984-5,37.4814641,126.9932625,08:00,19:00,법정공휴일(일요일 제외) 휴무+주말 운영시간은 09:00 ~ 17:00,무료,1박2일 무료대여,40,,Y,,Y,02-2155-7186,서울특별시 서초구청,2016-08-31
